702;ARENILLAS;7;1;;
703;ATAHUALPA;7;2;;
704;BALSAS;7;3;;
705;CHILLA;7;4;;
706;EL GUABO;7;4;;
707;HUAQUILLAS;7;1;;
714;LAS LAJAS;7;1;;
701;MACHALA;7;5;;
708;MARCABELI;7;3;;
709;PASAJE;7;4;;
710;PIÃ‘AS;7;3;;
711;PORTOVELO;7;2;;
712;SANTA ROSA;7;6;;
713;ZARUMA;7;2;;
1102;CALVAS;11;7;;
1103;CATAMAYO;11;9;;
1104;CELICA;11;11;;
1105;CHAGUARPAMBA;11;10;;
1106;ESPINDOLA;11;13;;
1107;GONZANAMA;11;8;;
1101;LOJA;11;9;;
1108;MACARA;11;14;;
1116;OLMEDO;11;10;;
1109;PALTAS;11;7;;
1114;PINDAL;11;11;;
1110;PUYANGO;11;11;;
1115;QUILANGA;11;8;;
1111;SARAGURO;11;15;;
1112;SOZORANGA;11;8;;
1113;ZAPOTILLO;11;12;;
1907;CENTINELA DEL CONDOR;19;16;;
1902;CHINCHIPE;19;17;;
1906;EL PANGUI;19;18;;
1903;NANGARITZA;19;16;;
1908;PALANDA;19;17;;
1909;PAQUISHA;19;16;;
1904;YACUAMBI;19;19;;
1905;YANTZAZA;19;18;;
1901;ZAMORA;19;19;;
